Row,Table,Type
AMT_CREDIT_LIMIT_ACTUAL,credit_card_balance,float64
AMT_DRAWINGS_ATM_CURRENT,credit_card_balance,float64
AMT_DRAWINGS_CURRENT,credit_card_balance,float64
AMT_DRAWINGS_OTHER_CURRENT,credit_card_balance,float64
AMT_DRAWINGS_POS_CURRENT,credit_card_balance,float64
AMT_INST_MIN_REGULARITY,credit_card_balance,float64
AMT_PAYMENT_CURRENT,credit_card_balance,float64
AMT_PAYMENT_TOTAL_CURRENT,credit_card_balance,float64
AMT_RECEIVABLE_PRINCIPAL,credit_card_balance,float64
AMT_RECIVABLE,credit_card_balance,float64
AMT_TOTAL_RECEIVABLE,credit_card_balance,float64
CNT_DRAWINGS_ATM_CURRENT,credit_card_balance,float64
CNT_DRAWINGS_CURRENT,credit_card_balance,float64
CNT_DRAWINGS_OTHER_CURRENT,credit_card_balance,float64
CNT_DRAWINGS_POS_CURRENT,credit_card_balance,float64
CNT_INSTALMENT_MATURE_CUM,credit_card_balance,float64
NAME_CONTRACT_STATUS,credit_card_balance,object
SK_DPD,credit_card_balance,float64
SK_DPD_DEF,credit_card_balance,float64
SK_ID_PREV,installments_payments,object
SK_ID_CURR,installments_payments,object
NUM_INSTALMENT_VERSION,installments_payments,object
NUM_INSTALMENT_NUMBER,installments_payments,float64
DAYS_INSTALMENT,installments_payments,float64
DAYS_ENTRY_PAYMENT,installments_payments,float64
AMT_INSTALMENT,installments_payments,float64
AMT_PAYMENT,installments_payments,float64
SK_ID_PREV,previous_application,object
SK_ID_CURR,previous_application,object
NAME_CONTRACT_TYPE,previous_application,object
AMT_ANNUITY,previous_application,float64
AMT_APPLICATION,previous_application,float64
AMT_CREDIT,previous_application,float64
AMT_DOWN_PAYMENT,previous_application,float64
AMT_GOODS_PRICE,previous_application,float64
WEEKDAY_APPR_PROCESS_START,previous_application,object
HOUR_APPR_PROCESS_START,previous_application,float64
FLAG_LAST_APPL_PER_CONTRACT,previous_application,object
NFLAG_LAST_APPL_IN_DAY,previous_application,object
RATE_DOWN_PAYMENT,previous_application,float64
RATE_INTEREST_PRIMARY,previous_application,float64
RATE_INTEREST_PRIVILEGED,previous_application,float64
NAME_CASH_LOAN_PURPOSE,previous_application,object
NAME_CONTRACT_STATUS,previous_application,object
DAYS_DECISION,previous_application,float64
NAME_PAYMENT_TYPE,previous_application,object
CODE_REJECT_REASON,previous_application,object
NAME_TYPE_SUITE,previous_application,object
NAME_CLIENT_TYPE,previous_application,object
NAME_GOODS_CATEGORY,previous_application,object
NAME_PORTFOLIO,previous_application,object
NAME_PRODUCT_TYPE,previous_application,object
CHANNEL_TYPE,previous_application,object
SELLERPLACE_AREA,previous_application,object
NAME_SELLER_INDUSTRY,previous_application,object
CNT_PAYMENT,previous_application,float64
NAME_YIELD_GROUP,previous_application,object
PRODUCT_COMBINATION,previous_application,object
DAYS_FIRST_DRAWING,previous_application,float64
DAYS_FIRST_DUE,previous_application,float64
DAYS_LAST_DUE_1ST_VERSION,previous_application,float64
DAYS_LAST_DUE,previous_application,float64
DAYS_TERMINATION,previous_application,float64
NFLAG_INSURED_ON_APPROVAL,previous_application,object
